,prob_A,prob_D,prob_C,prob_B,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
0,0.0,0.0,0.0,0.0,0,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
1,0.0,0.0,0.0,0.0,1,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
2,0.0,0.0,0.0,0.0,2,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
3,0.0,0.0,0.0,0.0,3,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
4,0.0,0.0,0.0,0.0,4,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
5,0.0,0.0,0.0,0.0,5,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
6,0.0,0.0,0.0,0.0,6,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
7,0.0,0.0,0.0,0.0,7,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
8,0.0,0.0,0.0,0.0,8,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
9,0.0,0.0,0.0,0.0,9,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}",0.0,CORNAIL HAT BOX CULVERT
10,0.0,0.0,0.0,0.05,10,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
11,0.0,0.0,0.0,0.05,11,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
12,0.0,0.0,0.0,0.05,12,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
13,0.0,0.0,0.0,0.05,13,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
14,0.0,0.0,0.0,0.05,14,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
15,0.0,0.0,0.0,0.05,15,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
16,0.0,0.0,0.0,0.05,16,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
17,0.0,0.0,0.0,0.05,17,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
18,0.0,0.0,0.0,0.05,18,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
19,0.0,0.0,0.0,0.05,19,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.05}",0.0,CORNAIL HAT BOX CULVERT
20,0.0,0.0,0.0,0.1,20,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
21,0.0,0.0,0.0,0.1,21,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
22,0.0,0.0,0.0,0.1,22,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
23,0.0,0.0,0.0,0.1,23,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
24,0.0,0.0,0.0,0.1,24,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
25,0.0,0.0,0.0,0.1,25,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
26,0.0,0.0,0.0,0.1,26,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
27,0.0,0.0,0.0,0.1,27,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
28,0.0,0.0,0.0,0.1,28,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
29,0.0,0.0,0.0,0.1,29,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
30,0.0,0.0,0.05,0.1,30,299.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
31,0.0,0.0,0.05,0.1,31,299.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
32,0.0,0.0,0.05,0.1,32,335.7523670793882,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",37.30655387404394,PURPU DURGAPURE BOX CUL
33,0.0,0.0,0.05,0.1,33,299.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
34,0.0,0.0,0.05,0.1,34,299.0,"{'A': 0, 'B': 0, 'C': 0.05, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
