,prob_A,prob_D,prob_C,prob_B,Run,Average driving time,Probs,Worst bridge delay,Worst bridge name
20,0.0,0.0,0.0,0.1,20,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
21,0.0,0.0,0.0,0.1,21,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
22,0.0,0.0,0.0,0.1,22,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
23,0.0,0.0,0.0,0.1,23,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
24,0.0,0.0,0.0,0.1,24,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
25,0.0,0.0,0.0,0.1,25,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
26,0.0,0.0,0.0,0.1,26,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
27,0.0,0.0,0.0,0.1,27,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
28,0.0,0.0,0.0,0.1,28,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
29,0.0,0.0,0.0,0.1,29,299.0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0.1}",0.0,CORNAIL HAT BOX CULVERT
