road,id,model_type,name,lat,lon,length,condition,bridge_name
N1,0,source,source,22.3691382,91.777666,555.0,,source
N1,1,link,link,22.369166,91.77419379999999,545.0,,
N1,2,bridge,bridge,22.3696841276595,91.7739258709219,3.0,A,CORNAIL HAT BOX CULVERT
N1,3,link,link,22.3762254893617,91.77054326631206,18.999999999970896,,
N1,4,link,link,22.376471600000002,91.770416,436.0000000000291,,
N1,5,link,link,22.379166,91.7675827,375.0,,
N1,6,bridge,bridge,22.3797011826666,91.7670476533333,8.3,A,GLAXO BOX CULVERT
N1,7,link,link,22.3815271,91.76522220000001,625.0,,
N1,8,bridge,bridge,22.38524588272,91.76250565776,3.0,A,PAKKA MATA BOX CULVERT
N1,9,link,link,22.3861663,91.76183329999999,313.9999999999709,,
N1,10,link,link,22.3887497,91.7607222,59.000000000029104,,
N1,11,link,link,22.3892497,91.7605,350.9999999999709,,
N1,12,link,link,22.3921108,91.75925,217.0,,
N1,13,bridge,bridge,22.3927175345622,91.7590882138248,18.0,A,GAMMON BRIDGE
N1,14,link,link,22.393777399999998,91.7588056,59.000000000029104,,
N1,15,link,link,22.3944997,91.7586944,488.9999999999709,,
N1,16,bridge,bridge,22.3963398830265,91.7582551580777,3.0,A,T. B HOSPITAL GATE BOX CULVERT
N1,17,link,link,22.398805199999998,91.7576667,7.0,,
N1,18,link,link,22.3988608,91.7576667,104.0000000000291,,
N1,19,link,link,22.3996108,91.7573333,400.0,,
N1,20,bridge,bridge,22.4030145445,91.75657411625,5.0,A,VATIARI CULVERT
N1,21,link,link,22.4032222,91.75652779999999,591.9999999999418,,
N1,22,link,link,22.408399210101013,91.75514357643098,2.000000000029104,,
N1,23,link,link,22.4084167,91.7551389,206.0,,
N1,24,link,link,22.4101111,91.7544444,200.0000000000291,,
N1,25,link,link,22.4119167,91.7543611,796.9999999999709,,
N1,26,link,link,22.4182771,91.7506667,38.0,,
N1,27,link,link,22.4185549,91.7504722,165.0000000000291,,
N1,28,link,link,22.4198882,91.74977740000001,1000.0,,
N1,29,bridge,bridge,22.4220415536,91.7480209792,35.1,B,DHAMAKHALI BRIDGE
N1,30,link,link,22.4269716,91.7439997,448.9999999999418,,
N1,31,link,link,22.4304438,91.7417219,43.000000000029104,,
N1,32,link,link,22.430749300000002,91.74152740000001,311.0,,
N1,33,link,link,22.4333049,91.7403608,137.0000000000291,,
N1,34,link,link,22.434971899999997,91.7396941,924.9999999999709,,
N1,35,bridge,bridge,22.4350737918918,91.7396527192432,40.0,A,VATERIE BRIDGE
N1,36,bridge,bridge,22.4375035216216,91.7386659473513,3.0,A,HASNA BAD BOX CULVERT
N1,37,link,link,22.4422219,91.7367497,31.0,,
N1,38,link,link,22.4424997,91.7366663,104.0000000000291,,
N1,39,link,link,22.443388600000002,91.73641629999999,1000.0,,
N1,40,bridge,bridge,22.4460793332411,91.7353674287057,26.3,C,SALAKHARPAD BRIDGE
N1,41,bridge,bridge,22.4488628503871,91.7342823894358,3.0,A,KODOM RASUL BOX CULVERT
N1,42,link,link,22.45182350044248,91.7331283022124,808.0,,
N1,43,link,link,22.4586389,91.73047159999999,25.999999999970896,,
N1,44,link,link,22.458833300000002,91.73036040000001,184.0,,
N1,45,link,link,22.4603056,91.72958270000001,1000.0,,
N1,46,bridge,bridge,22.4624386352,91.7285307,23.2,B,SHLAKHAR PAD BRIDGE
N1,47,link,link,22.468416,91.7255827,136.0,,
N1,48,link,link,22.4694438,91.72505490000002,882.9999999999709,,
N1,49,bridge,bridge,22.4728530893544,91.7232633541336,6.0,A,HATIBORI BOX CULVERT
N1,50,link,link,22.476527100000002,91.7213327,89.0000000000291,,
N1,51,link,link,22.4773049,91.7211104,25.0,,
N1,52,link,link,22.4775271,91.72105490000001,600.9999999999709,,
N1,53,bridge,bridge,22.4811642144766,91.7203633632516,23.2,B,MUDDO SONAISORI BRIDGE
N1,54,link,link,22.48280706570156,91.72005100244988,297.0000000000291,,
N1,55,link,link,22.4854163,91.7195549,174.0,,
N1,56,bridge,bridge,22.4855480068965,91.7195309517241,4.5,A,BARAOWLLA BOX CULVERT
N1,57,link,link,22.486944100000002,91.7192771,887.0,,
N1,58,bridge,bridge,22.4904405976324,91.7182726733934,3.0,B,GORA MARI BOX CULVERT
N1,59,link,link,22.494583,91.7170827,296.0,,
N1,60,link,link,22.4968052,91.7156389,19.0,,
N1,61,link,link,22.4969163,91.7155556,685.0,,
N1,62,bridge,bridge,22.5000858335766,91.7141504905109,17.6,A,GORA MARA RCC GIRDER BRIDGE
N1,63,link,link,22.5025556,91.7130556,56.999999999970896,,
N1,64,link,link,22.503,91.7128056,530.0,,
N1,65,bridge,bridge,22.5060220437735,91.7112848218867,4.5,A,ROYL CIMINT GATE CULVETRT
N1,66,link,link,22.507305600000002,91.7106389,18.000000000029104,,
N1,67,link,link,22.507444399999997,91.71055559999999,238.9999999999709,,
N1,68,link,link,22.5093611,91.7096944,12.000000000029104,,
N1,69,link,link,22.5094444,91.7096389,144.0,,
N1,70,link,link,22.510611100000002,91.7090833,262.0,,
N1,71,bridge,bridge,22.5113471164122,91.7087907889313,27.0,C,BORO KUMIRA BRIDGE
N1,72,link,link,22.512777800000002,91.70822220000001,41.0,,
N1,73,link,link,22.5131389,91.7080833,194.0,,
N1,74,link,link,22.514722199999998,91.7074444,182.0,,
N1,75,link,link,22.5161667,91.70675,45.0,,
N1,76,link,link,22.5165556,91.7065833,276.0,,
N1,77,link,link,22.518721600000003,91.7055556,65.0,,
N1,78,link,link,22.519265407228914,91.70540328072286,18.0,,
N1,79,link,link,22.519416,91.70536109999999,957.0,,
N1,80,bridge,bridge,22.5229359167189,91.7038366163009,16.3,B,KYSTELGATE ARCH
N1,81,link,link,22.5273049,91.7019444,910.0,,
N1,82,bridge,bridge,22.5303678038461,91.7004641228571,3.0,A,GULAM JUTE MILE BOX CULVERT
N1,83,link,link,22.534777399999996,91.69833299999999,90.0,,
N1,84,link,link,22.5354997,91.6979441,881.9999999999709,,
N1,85,bridge,bridge,22.5390300234693,91.6965452744898,8.2,A,SOTTANA MONDIR CULVERT
N1,86,link,link,22.5428608,91.69502740000001,119.0000000000291,,
N1,87,link,link,22.543888600000002,91.69452740000001,825.0,,
N1,88,bridge,bridge,22.5444897756363,91.6941310785454,5.2,A,DOKHIN BASH-KHALI BOX CULVERT
N1,89,bridge,bridge,22.5467727210909,91.6926260603636,3.0,A,SOUTH BALSH KHALI BOX CULVERT
N1,90,link,link,22.5501667,91.69038859999999,30.999999999970896,,
N1,91,link,link,22.5503056,91.69027740000001,144.0000000000291,,
N1,92,link,link,22.551416699999997,91.6896941,939.0,,
N1,93,bridge,bridge,22.5543319776357,91.6887963149094,21.6,B,BARSH BARIA BRIDGE
N1,94,bridge,bridge,22.5585210862619,91.687506242492,4.1,A,OHIDPUR BOX CULVERT
N1,95,link,link,22.5594444,91.6872219,316.0,,
N1,96,link,link,22.5624722,91.6863608,217.0000000000291,,
N1,97,link,link,22.564,91.6859441,13.999999999941792,,
N1,98,link,link,22.5641389,91.68591629999999,275.0,,
N1,99,bridge,bridge,22.5664212916363,91.6851826636363,4.5,A,R. R TEXTAIL BOX CULVERT
N1,100,link,link,22.566472199999996,91.68516629999999,178.0000000000291,,
N1,101,link,link,22.5679716,91.6846941,605.0000000000291,,
N1,102,bridge,bridge,22.5679968064462,91.6846866604958,8.2,A,CHARA KANDI BOX CULVERT
N1,103,bridge,bridge,22.5702905930578,91.6840096656198,3.0,A,PHPMORE BON CULVERT
N1,104,link,link,22.5730549,91.6831938,17.999999999970896,,
N1,105,link,link,22.5731938,91.6830827,377.0,,
N1,106,link,link,22.5763604,91.68180490000002,183.0,,
N1,107,bridge,bridge,22.5767930229508,91.68162274153,10.2,A,BARO-CUNDHOW BOX CULVERT
N1,108,link,link,22.5779438,91.68113819999999,330.9999999999709,,
N1,109,link,link,22.580666,91.67994379999999,343.0,,
N1,110,bridge,bridge,22.5815086746355,91.6795390413994,2.5,A,BAROGINDO CULVERT
N1,111,link,link,22.5834997,91.6785827,26.000000000029104,,
N1,112,link,link,22.5836663,91.6784716,117.0,,
N1,113,link,link,22.584583,91.6780827,756.9999999999709,,
N1,114,bridge,bridge,22.5870350167767,91.6770444686922,22.25,C,BAROCONDO BRIDGE
N1,115,link,link,22.5907497,91.6754716,408.0000000000582,,
N1,116,bridge,bridge,22.5938881803921,91.6738889367647,4.5,A,HATILOTA BOX CULVERT
N1,117,link,link,22.5939997,91.6738327,24.999999999970896,,
N1,118,link,link,22.594221899999997,91.6737771,681.0,,
N1,119,bridge,bridge,22.5971665766519,91.671819207489,9.3,B,SKM BOX CULVERT(1)
N1,120,link,link,22.599444100000003,91.6703049,49.000000000029104,,
N1,121,link,link,22.6000556,91.6699438,115.0,,
N1,122,link,link,22.601,91.66927709999999,130.0,,
